Year,NASDAQ
1985,324.8999938964844
1986,348.79998779296875
1987,330.5
1988,381.3999938964844
1989,454.79998779296875
1990,373.79998779296875
1991,586.3400268554688
1992,676.9500122070312
1993,776.7999877929688
1994,751.9600219726562
1995,1052.1300048828125
1996,1291.030029296875
1997,1570.3499755859375
1998,2192.68994140625
1999,4069.31005859375
2000,2470.52001953125
2001,1950.4000244140625
2002,1335.510009765625
2003,2003.3699951171875
2004,2175.43994140625
2005,2205.320068359375
2006,2415.2900390625
2007,2652.280029296875
2008,1577.030029296875
2009,2269.14990234375
2010,2652.8701171875
2011,2605.14990234375
2012,3019.510009765625
2013,4176.58984375
2014,4736.0498046875
2015,5007.41015625
2016,5383.1201171875
2017,6903.39013671875
2018,6635.27978515625
2019,8972.599609375
2020,12888.2802734375
2021,15644.9697265625
2022,10466.48046875
2023,15011.349609375
